10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/js/share.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/images/ugc_logo.jpeg, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/images/twitter.png, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/images/facebook.png, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:42, GET, /UGC/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:12:08, GET, /UGC/default/upload_prob, HTTP/1.1, 200, 0.140000
10.10.120.139, 2017-03-26 14:12:08, GET, /UGC/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
10.10.120.139, 2017-03-26 14:16:49, GET, /admin/default/site, HTTP/1.1, 200, 0.059000
10.10.120.139, 2017-03-26 14:16:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:16:53, GET, /admin/default/uninstall/UGC, HTTP/1.1, 200, 0.045000
10.10.120.139, 2017-03-26 14:16:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
10.10.120.139, 2017-03-26 14:16:56, POST, /admin/default/uninstall/UGC, HTTP/1.1, 303, 0.756000
10.10.120.139, 2017-03-26 14:16:56, GET, /admin/default/site, HTTP/1.1, 200, 0.060000
10.10.120.139, 2017-03-26 14:16:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:17:22, POST, /admin/default/site, HTTP/1.1, 303, 2.255000
10.10.120.139, 2017-03-26 14:17:22, GET, /admin/default/site, HTTP/1.1, 200, 0.056000
10.10.120.139, 2017-03-26 14:17:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:17:29, GET, /UGC/default/index, HTTP/1.1, 200, 0.211000
10.10.120.139, 2017-03-26 14:17:29, GET, /UGC/static/js/google_ajax.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:17:29, GET, /UGC/static/js/myajax.js, HTTP/1.1, 200, 0.001000
10.10.120.139, 2017-03-26 14:17:34, GET, /UGC/default/upload_prob, HTTP/1.1, 200, 0.151000
10.10.120.139, 2017-03-26 14:19:12, POST, /UGC/default/upload_prob, HTTP/1.1, 500, 3.983000
10.10.120.139, 2017-03-26 14:19:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:19:15, GET, /admin/default/ticket/UGC/10.10.120.139.2017-03-26.14-19-08.2b4eb372-ed7e-40b4-bd39-0aa43c28cff5, HTTP/1.1, 200, 0.103000
10.10.120.139, 2017-03-26 14:19:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
10.10.120.139, 2017-03-26 14:19:39, GET, /admin/default/design/UGC, HTTP/1.1, 200, 0.146000
10.10.120.139, 2017-03-26 14:19:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:19:43, GET, /admin/default/edit/UGC/controllers/default.py, HTTP/1.1, 200, 0.053000
10.10.120.139, 2017-03-26 14:19:44, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
10.10.120.139, 2017-03-26 14:19:44, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.213000
10.10.120.139, 2017-03-26 14:19:44, GET, /admin/default/edit/UGC/controllers/default.py, HTTP/1.1, 200, 0.243000
10.10.120.139, 2017-03-26 14:19:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.260000
10.10.120.139, 2017-03-26 14:19:44, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.248000
10.10.120.139, 2017-03-26 14:19:44, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.522000
10.10.120.139, 2017-03-26 14:19:44, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.640000
10.10.120.139, 2017-03-26 14:20:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.064000
10.10.120.139, 2017-03-26 14:20:47, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 2.825000
10.10.120.139, 2017-03-26 14:21:08, POST, /admin/default/edit/UGC/controllers/default.py, HTTP/1.1, 200, 0.077000
10.10.120.139, 2017-03-26 14:21:21, POST, /UGC/default/upload_prob, HTTP/1.1, 200, 3.754000
10.10.120.139, 2017-03-26 14:21:21, GET, /UGC/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
10.10.120.139, 2017-03-26 14:21:36, GET, /admin/default/design/UGC, HTTP/1.1, 200, 0.145000
10.10.120.139, 2017-03-26 14:21:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:21:41, GET, /UGC/appadmin/index, HTTP/1.1, 200, 0.794000
10.10.120.139, 2017-03-26 14:21:42, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.387000
10.10.120.139, 2017-03-26 14:21:47, GET, /UGC/appadmin/select/db, HTTP/1.1, 200, 0.800000
10.10.120.139, 2017-03-26 14:22:39, POST, /UGC/appadmin/select/db, HTTP/1.1, 200, 0.785000
10.10.120.139, 2017-03-26 14:24:57, GET, /UGC/appadmin/insert/db/Colleges, HTTP/1.1, 200, 0.747000
10.10.120.139, 2017-03-26 14:25:20, POST, /UGC/appadmin/insert/db/Colleges, HTTP/1.1, 200, 0.835000
10.10.120.139, 2017-03-26 14:25:42, POST, /UGC/appadmin/insert/db/Colleges, HTTP/1.1, 200, 0.314000
10.10.120.139, 2017-03-26 14:26:00, GET, /UGC/default/upload_prob, HTTP/1.1, 200, 0.514000
10.10.120.139, 2017-03-26 14:27:00, POST, /UGC/default/upload_prob, HTTP/1.1, 500, 5.967000
10.10.120.139, 2017-03-26 14:27:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:27:03, GET, /admin/default/ticket/UGC/10.10.120.139.2017-03-26.14-26-54.ef458a50-6e38-4769-9cf6-dc7504ddf3b0, HTTP/1.1, 200, 0.299000
10.10.120.139, 2017-03-26 14:27:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
10.10.120.139, 2017-03-26 14:27:25, GET, /UGC/appadmin/insert/db/Colleges, HTTP/1.1, 200, 0.765000
10.10.120.139, 2017-03-26 14:27:31, GET, /UGC/appadmin/select/db, HTTP/1.1, 200, 0.310000
10.10.120.139, 2017-03-26 14:27:34, GET, /UGC/appadmin/index, HTTP/1.1, 200, 0.230000
10.10.120.139, 2017-03-26 14:27:34, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.491000
10.10.120.139, 2017-03-26 14:27:35, GET, /admin/default/design/UGC, HTTP/1.1, 200, 0.474000
10.10.120.139, 2017-03-26 14:27:35, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
10.10.120.139, 2017-03-26 14:27:42, GET, /admin/default/edit/UGC/modules/sendMail.py, HTTP/1.1, 200, 0.087000
10.10.120.139, 2017-03-26 14:27:42, GET, /favicon.ico, HTTP/1.1, 400, 0.009000
10.10.120.139, 2017-03-26 14:27:42, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.308000
10.10.120.139, 2017-03-26 14:27:43, GET, /admin/default/edit/UGC/modules/sendMail.py, HTTP/1.1, 200, 0.445000
10.10.120.139, 2017-03-26 14:27:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.530000
10.10.120.139, 2017-03-26 14:27:43, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.147000
10.10.120.139, 2017-03-26 14:27:43, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.882000
10.10.120.139, 2017-03-26 14:27:43, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 1.143000
10.10.120.139, 2017-03-26 14:27:53, POST, /admin/default/edit/UGC/modules/sendMail.py, HTTP/1.1, 200, 0.062000
10.10.120.139, 2017-03-26 14:27:56, GET, /UGC/default/upload_prob, HTTP/1.1, 200, 0.204000
10.10.120.139, 2017-03-26 14:28:08, POST, /UGC/default/upload_prob, HTTP/1.1, 200, 5.420000
10.10.120.139, 2017-03-26 14:28:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.125000
10.10.120.139, 2017-03-26 14:28:43, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.524000
10.10.120.139, 2017-03-26 14:29:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.141000
10.10.120.139, 2017-03-26 14:29:43, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.516000
10.10.120.139, 2017-03-26 14:30:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.140000
10.10.120.139, 2017-03-26 14:30:43, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.468000
10.10.120.139, 2017-03-26 14:31:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.142000
10.10.120.139, 2017-03-26 14:31:43, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.501000
10.10.120.139, 2017-03-26 14:32:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.141000
10.10.120.139, 2017-03-26 14:32:43, GET, /UGC/appadmin/hooks, HTTP/1.1, 200, 0.517000
10.10.120.139, 2017-03-26 19:01:16, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.309000
10.10.120.139, 2017-03-26 19:01:16, GET, /admin/default/index.load, HTTP/1.1, 404, 0.157000
10.10.120.139, 2017-03-26 19:01:16, GET, /UGC/appadmin/hooks, HTTP/1.1, 303, 0.753000
10.10.120.139, 2017-03-26 19:01:16, GET, /admin/default/index, HTTP/1.1, 200, 0.063000
10.10.120.139, 2017-03-26 19:01:16, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.041000
10.10.120.139, 2017-03-26 19:01:16, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.075000
10.10.120.139, 2017-03-26 19:01:17, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.071000
10.10.120.139, 2017-03-26 19:01:17, GET, /UGC/appadmin/hooks, HTTP/1.1, 303, 0.299000
10.10.120.139, 2017-03-26 19:01:17, GET, /admin/default/index, HTTP/1.1, 200, 0.204000
10.10.120.139, 2017-03-26 19:01:18, GET, /admin/default/index.load, HTTP/1.1, 404, 0.223000
10.10.120.139, 2017-03-26 19:01:18, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.140000
10.10.120.139, 2017-03-26 19:01:18, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.140000
10.10.120.139, 2017-03-26 19:01:18, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.140000
10.10.120.139, 2017-03-26 19:01:18, GET, /admin/default/index, HTTP/1.1, 200, 0.567000
10.10.120.139, 2017-03-26 19:01:18, GET, /admin/default/index, HTTP/1.1, 200, 0.567000
10.10.120.139, 2017-03-26 19:01:18, GET, /admin/default/index.load, HTTP/1.1, 404, 0.203000
10.10.120.139, 2017-03-26 19:01:18, GET, /admin/default/index, HTTP/1.1, 200, 0.408000
10.10.120.139, 2017-03-26 19:01:18, GET, /admin/default/index, HTTP/1.1, 200, 0.268000
10.10.120.139, 2017-03-26 19:01:19, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.110000
10.10.120.139, 2017-03-26 19:01:19, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.110000
